,INSTNM,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,UGDS,ENDOWEND
397,Pitzer College,21.0,34.104107,-117.706675,0.1657,922.0,144435157.0
399,Point Loma Nazarene University,11.0,32.718391,-117.250265,0.8355,3209.0,61666559.0
400,Pomona College,21.0,34.099027,-117.714556,0.0862,1462.0,2254547000.0
406,University of Redlands,13.0,34.064218,-117.163218,0.6865,2810.0,212459592.0
420,San Diego State University,11.0,32.77525,-117.071228,0.367,31293.0,353237246.0
421,University of San Diego,11.0,32.770816,-117.192073,0.587,5454.0,532240000.0
422,San Francisco Art Institute,11.0,37.803575,-122.417,0.9467,22.0,6276219.0
423,San Francisco Conservatory of Music,11.0,37.775543,-122.420292,0.4562,243.0,43498000.0
424,San Francisco State University,11.0,37.721224,-122.476799,0.8409,23411.0,139667872.0
425,University of San Francisco,11.0,37.776618,-122.450477,0.703,5810.0,419920000.0
430,William Jessup University,41.0,38.819728,-121.292312,0.6521,1279.0,4026400.0
432,San Jose State University,11.0,37.336569,-121.880621,0.6737,27614.0,148747339.0
437,Santa Clara University,12.0,37.348362,-121.93784,0.5072,5606.0,1034167000.0
441,Scripps College,21.0,34.104147,-117.711294,0.3513,930.0,374862269.0
448,Simpson University,13.0,40.61334,-122.332981,0.5972,696.0,6140938.0
453,Saint Mary's College of California,21.0,37.840731,-122.109031,0.7731,2461.0,178002330.0
455,Sonoma State University,21.0,38.340274,-122.677066,0.8912,7231.0,41676331.0
458,Vanguard University of Southern California,12.0,33.662686,-117.900911,0.4999,1995.0,7613821.0
464,Southern California Institute of Architecture,11.0,34.044215,-118.232799,0.673,249.0,4568000.0
465,University of Southern California,11.0,34.021281,-118.284169,0.1611,19521.0,5914358000.0
469,Thomas Aquinas College,42.0,34.429009,-119.087141,0.8553,462.0,25165115.0
486,Westmont College,22.0,34.450151,-119.662517,0.7016,1226.0,78006491.0
487,Whittier College,21.0,33.978773,-118.032299,0.7233,1488.0,110492437.0
488,Woodbury University,11.0,34.208011,-118.341147,0.704,1019.0,20070284.0
494,Adams State University,33.0,37.473636,-105.879642,0.9988,1612.0,62124.0
503,Colorado College,11.0,38.84886,-104.822697,0.136,2023.0,768785461.0
507,Colorado School of Mines,21.0,39.751443,-105.223364,0.5497,5173.0,255678903.0
509,Colorado State University-Fort Collins,12.0,40.574805,-105.080732,0.8352,23332.0,410081225.0
516,University of Denver,11.0,39.678005,-104.963259,0.6067,5683.0,772073079.0
518,Fort Lewis College,32.0,37.275939,-107.867422,0.9151,3205.0,10648269.0
523,Colorado Mesa University,13.0,39.080643,-108.553275,0.7544,8146.0,37213187.0
524,Metropolitan State University of Denver,11.0,39.744202,-105.00504,0.8333,17255.0,18056150.0
526,Naropa University,12.0,40.014235,-105.266987,1.0,318.0,5426787.0
529,University of Northern Colorado,12.0,40.410855,-104.692777,0.877,7531.0,88632449.0
534,Regis University,11.0,39.788175,-105.030756,0.782,3071.0,67372749.0
537,Colorado State University Pueblo,12.0,38.30859,-104.579033,0.9431,3275.0,22712061.0
542,United States Air Force Academy,31.0,39.010957,-104.891358,0.1343,4307.0,96384928.0
544,Western Colorado University,33.0,38.549936,-106.919132,0.885,1682.0,9009436.0
545,Albertus Magnus College,12.0,41.332519,-72.923848,0.8126,1076.0,25821156.0
548,University of Bridgeport,12.0,41.164741,-73.190166,0.7095,2338.0,19446000.0
549,Central Connecticut State University,21.0,41.692502,-72.765991,0.6485,8402.0,77490881.0
552,Connecticut College,13.0,41.379833,-72.107321,0.3772,1711.0,316270000.0
554,University of Connecticut,21.0,41.809098,-72.249948,0.5609,18658.0,438656096.0
557,Eastern Connecticut State University,31.0,41.721673,-72.218753,0.697,4104.0,16382515.0
558,Fairfield University,21.0,41.157673,-73.255903,0.5613,4319.0,317391000.0
564,University of Hartford,12.0,41.798591,-72.715213,0.7741,4378.0,176055000.0
570,Mitchell College,13.0,41.328013,-72.09523,0.7422,571.0,8241793.0
574,University of New Haven,21.0,41.291314,-72.961472,0.911,5078.0,70289725.0
581,Quinnipiac University,21.0,41.418915,-72.894117,0.8239,6787.0,545134316.0
582,Sacred Heart University,21.0,41.220893,-73.243332,0.6553,6356.0,189836570.0
583,University of Saint Joseph,21.0,41.781041,-72.72965,0.7802,884.0,35442000.0
585,Southern Connecticut State University,12.0,41.333225,-72.947897,0.7968,7239.0,31171882.0
587,Trinity College,12.0,41.747451,-72.690882,0.3604,2194.0,614772658.0
590,Wesleyan University,13.0,41.554665,-72.657146,0.209,2838.0,1130907000.0
591,Western Connecticut State University,13.0,41.400365,-73.444264,0.8072,4500.0,21357642.0
592,Yale University,12.0,41.311158,-72.926688,0.0653,4701.0,31201686000.0
596,Delaware State University,13.0,39.187173,-75.54053,0.3934,3881.0,26148753.0
597,University of Delaware,21.0,39.679577,-75.752822,0.6599,18618.0,1453189476.0
598,Goldey-Beacom College,21.0,39.741501,-75.689624,0.5521,676.0,159899768.0
600,Wesley College,13.0,39.163182,-75.527716,0.5859,790.0,3157250.0
602,American University,11.0,38.936005,-77.088875,0.3865,7510.0,701308000.0
603,The Catholic University of America,11.0,38.933651,-76.997909,0.8223,3017.0,266907550.0
606,Gallaudet University,11.0,38.907371,-76.993675,0.6262,1004.0,194495207.0
607,George Washington University,11.0,38.89923,-77.048363,0.4304,11106.0,1802656000.0
608,Georgetown University,11.0,38.908809,-77.073463,0.1681,7119.0,1863711000.0
609,Howard University,11.0,38.922392,-77.018966,0.3864,7784.0,712449000.0
612,Trinity Washington University,11.0,38.927398,-77.004261,0.9579,1415.0,30658294.0
615,The Baptist College of Florida,32.0,30.962708,-85.503931,0.7556,268.0,8046044.0
616,Barry University,21.0,25.878908,-80.198925,0.653,3249.0,45993199.0
617,Bethune-Cookman University,13.0,29.207195,-81.032946,0.9773,2746.0,28200894.0
618,Lynn University,13.0,26.385985,-80.122806,0.7868,2452.0,28760478.0
624,Johnson University Florida,21.0,28.302547,-81.363053,0.3731,159.0,1583206.0
625,University of Central Florida,21.0,28.602159,-81.200889,0.4517,61111.0,160837792.0
631,Eckerd College,11.0,27.715798,-82.687043,0.6858,1819.0,62435351.0
633,Edward Waters University,11.0,30.34479,-81.684879,0.5703,969.0,1680649.0
634,Embry-Riddle Aeronautical University-Daytona Beach,13.0,29.189903,-81.048367,0.606,6399.0,117756000.0
635,Florida Agricultural and Mechanical University,12.0,30.428504,-84.290226,0.3298,7072.0,89922352.0
636,Florida Atlantic University,13.0,26.372421,-80.102978,0.7478,24396.0,288677501.0
638,Flagler College,23.0,29.892733,-81.314887,0.5649,2671.0,70529652.0
639,Florida College,21.0,28.034936,-82.383289,0.7634,488.0,15491372.0
643,AdventHealth University,11.0,28.576142,-81.367687,0.9087,1129.0,8716135.0
644,Florida Institute of Technology,13.0,28.065815,-80.622893,0.7037,3188.0,81763706.0
646,Florida International University,21.0,25.75732,-80.373928,0.5788,41220.0,218684250.0
648,Florida Memorial University,21.0,25.918278,-80.270753,0.3841,887.0,4472770.0
651,Florida Southern College,12.0,28.032443,-81.948203,0.5037,2724.0,94599918.0
652,Florida State University,12.0,30.440756,-84.291921,0.3245,32384.0,699912745.0
653,University of Florida,12.0,29.64629,-82.347911,0.3113,34237.0,1844523000.0
667,Jacksonville University,11.0,30.353227,-81.60458,0.7774,2737.0,48372814.0
677,Luther Rice College & Seminary,21.0,33.698126,-84.123179,0.4444,219.0,1124736.0
685,University of Miami,13.0,25.72126,-80.278662,0.3309,11221.0,1050754203.0
689,University of North Florida,11.0,30.27194,-81.509144,0.7992,14308.0,116830075.0
690,Nova Southeastern University,21.0,26.079337,-80.24248,0.7624,6254.0,174151000.0
